sakinys,stilius,struktūra,veiksmažodžio_kategorija,daiktavardžio_kategorija
mokytoja miegoti,telegrafinis,VEK+VKS,miegoti,
ne eiti,telegrafinis,ne+VKS,eiti,
ne norėti,telegrafinis,ne+VKS,norėti,
ne duoti,telegrafinis,ne+VKS,duoti,
ne laikyti,telegrafinis,ne+VKS,laikyti,
ne žaisti,telegrafinis,ne+VKS,žaisti,
ne piešti,telegrafinis,ne+VKS,piešti,
ne žiūrėti,telegrafinis,ne+VKS,žiūrėti,
ne skaityti,telegrafinis,ne+VKS,skaityti,
ne laukti,telegrafinis,ne+VKS,laukti,
ne kalbėti,telegrafinis,ne+VKS,kalbėti,
ne valgyti,telegrafinis,ne+VKS,valgyti,
ne gerti,telegrafinis,ne+VKS,gerti,
ne miegoti,telegrafinis,ne+VKS,miegoti,
aš taip,telegrafinis,VEK+taip,socialinis,
aš ne,telegrafinis,VEK+ne,socialinis,
tu taip,telegrafinis,VEK+taip,socialinis,
tu ne,telegrafinis,VEK+ne,socialinis,
jis taip,telegrafinis,VEK+taip,socialinis,
jis ne,telegrafinis,VEK+ne,socialinis,
ji taip,telegrafinis,VEK+taip,socialinis,
ji ne,telegrafinis,VEK+ne,socialinis,
mama taip,telegrafinis,VEK+taip,socialinis,
mama ne,telegrafinis,VEK+ne,socialinis,
tėtis taip,telegrafinis,VEK+taip,socialinis,
tėtis ne,telegrafinis,VEK+ne,socialinis,
draugas taip,telegrafinis,VEK+taip,socialinis,
draugas ne,telegrafinis,VEK+ne,socialinis,
mokytoja taip,telegrafinis,VEK+taip,socialinis,
mokytoja ne,telegrafinis,VEK+ne,socialinis,
šuo eiti,telegrafinis,GYV+VKS,eiti,
šuo valgyti,telegrafinis,GYV+VKS,valgyti,
šuo gerti,telegrafinis,GYV+VKS,gerti,
šuo žaisti,telegrafinis,GYV+VKS,žaisti,
šuo laukti,telegrafinis,GYV+VKS,laukti,
šuo žiūrėti,telegrafinis,GYV+VKS,žiūrėti,
šuo miegoti,telegrafinis,GYV+VKS,miegoti,
katė eiti,telegrafinis,GYV+VKS,eiti,
katė valgyti,telegrafinis,GYV+VKS,valgyti,
katė gerti,telegrafinis,GYV+VKS,gerti,
katė žaisti,telegrafinis,GYV+VKS,žaisti,
katė laukti,telegrafinis,GYV+VKS,laukti,
katė žiūrėti,telegrafinis,GYV+VKS,žiūrėti,
katė miegoti,telegrafinis,GYV+VKS,miegoti,
aš eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
aš eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
aš eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
aš eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
aš eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
aš eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
aš eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
tu eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
tu eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
tu eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
tu eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
tu eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
tu eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
tu eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
jis eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
jis eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
jis eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
jis eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
jis eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
jis eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
jis eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
ji eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
ji eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
ji eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
ji eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
ji eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
ji eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
ji eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
mama eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
mama eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
mama eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
mama eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
mama eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
mama eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
mama eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
tėtis eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
tėtis eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
tėtis eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
tėtis eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
tėtis eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
tėtis eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
tėtis eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
draugas eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
draugas eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
draugas eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
draugas eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
draugas eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
draugas eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
draugas eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
mokytoja eiti mokykla,telegrafinis,VEK+eiti+VIT,eiti,vietos
mokytoja eiti parduotuvė,telegrafinis,VEK+eiti+VIT,eiti,vietos
mokytoja eiti kiemas,telegrafinis,VEK+eiti+VIT,eiti,vietos
mokytoja eiti namai,telegrafinis,VEK+eiti+VIT,eiti,vietos
mokytoja eiti virtuvė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
mokytoja eiti svetainė,telegrafinis,VEK+eiti+VIT,eiti,kambariai
mokytoja eiti tualetas,telegrafinis,VEK+eiti+VIT,eiti,kambariai
aš norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
aš norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
aš norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
aš norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
aš norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
aš norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
aš norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
aš norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tu norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
tu norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
tu norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
tu norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
tu norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tu norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tu norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tu norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
jis norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
jis norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
jis norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
jis norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
jis norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
jis norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
jis norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
jis norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
ji norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
ji norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
ji norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
ji norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
ji norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
ji norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
ji norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
ji norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mama norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
mama norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
mama norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
mama norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
mama norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mama norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mama norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mama norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tėtis norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
tėtis norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
tėtis norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
tėtis norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
tėtis norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tėtis norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tėtis norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
tėtis norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
draugas norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
draugas norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
draugas norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
draugas norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
draugas norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
draugas norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
draugas norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
draugas norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mokytoja norėti obuolys,telegrafinis,VEK+norėti+OBJ,norėti,maistas
mokytoja norėti sumuštinis,telegrafinis,VEK+norėti+OBJ,norėti,maistas
mokytoja norėti vanduo,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
mokytoja norėti sultys,telegrafinis,VEK+norėti+OBJ,norėti,gėrimai
mokytoja norėti knyga,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mokytoja norėti žaislas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mokytoja norėti kamuolys,telegrafinis,VEK+norėti+OBJ,norėti,objektai
mokytoja norėti telefonas,telegrafinis,VEK+norėti+OBJ,norėti,objektai
aš duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
aš duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
aš duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
aš duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
aš duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
aš duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
aš duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
aš duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tu duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
tu duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
tu duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
tu duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
tu duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tu duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tu duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tu duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
jis duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
jis duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
jis duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
jis duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
jis duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
jis duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
jis duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
jis duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
ji duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
ji duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
ji duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
ji duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
ji duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
ji duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
ji duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
ji duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mama duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
mama duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
mama duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
mama duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
mama duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mama duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mama duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mama duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tėtis duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
tėtis duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
tėtis duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
tėtis duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
tėtis duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tėtis duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tėtis duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
tėtis duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
draugas duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
draugas duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
draugas duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
draugas duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
draugas duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
draugas duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
draugas duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
draugas duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mokytoja duoti obuolys,telegrafinis,VEK+duoti+OBJ,duoti,maistas
mokytoja duoti sumuštinis,telegrafinis,VEK+duoti+OBJ,duoti,maistas
mokytoja duoti vanduo,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
mokytoja duoti sultys,telegrafinis,VEK+duoti+OBJ,duoti,gėrimai
mokytoja duoti knyga,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mokytoja duoti žaislas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mokytoja duoti kamuolys,telegrafinis,VEK+duoti+OBJ,duoti,objektai
mokytoja duoti telefonas,telegrafinis,VEK+duoti+OBJ,duoti,objektai
aš laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
aš laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
aš laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
aš laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
aš laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
aš laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tu laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
tu laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
tu laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tu laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tu laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tu laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
jis laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
jis laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
jis laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
jis laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
jis laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
jis laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
ji laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
ji laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
ji laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
ji laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
ji laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
ji laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mama laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
mama laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
mama laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mama laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mama laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mama laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tėtis laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
tėtis laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
tėtis laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tėtis laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tėtis laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
tėtis laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
draugas laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
draugas laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
draugas laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
draugas laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
draugas laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
draugas laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mokytoja laikyti šuo,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
mokytoja laikyti katė,telegrafinis,VEK+laikyti+OBJ,laikyti,gyvūnai
mokytoja laikyti knyga,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mokytoja laikyti žaislas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mokytoja laikyti kamuolys,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
mokytoja laikyti telefonas,telegrafinis,VEK+laikyti+OBJ,laikyti,objektai
aš žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
aš žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
aš žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
aš žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
aš žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
aš žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
aš žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
aš žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
aš žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
aš žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
aš žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
aš žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tu žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
tu žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
